compound	type	feature	score
AEE788	measurement	KMT2A	-4.257339727424203
AEE788	measurement	FOXA1	-4.254562678303226
AEE788	measurement	GATA3	-4.245137758591825
AEE788	measurement	GATA2	-3.7336161195265896
AEE788	measurement	NCOA1	-3.6539225551094723
AEE788	measurement	HSF1	3.2750694044452535
AEE788	measurement	FOXA2	-3.245590244733714
AEE788	measurement	SREBF1	3.065768868312532
AEE788	measurement	NCOA3	-3.0583283857059786
AEE788	measurement	ONECUT1	-3.0322672770375982
AEE788	measurement	SOX2	-2.7513500693772244
AEE788	measurement	MAZ	2.6924512454296665
AEE788	measurement	SREBF2	2.611142258431612
AEE788	measurement	TCF3	2.554526821139715
AEE788	measurement	FOXO4	-2.479590726686208
AEE788	measurement	POU2F1	-2.4763921123455086
AEE788	measurement	MBD1	2.3005305033803976
AEE788	measurement	TAL1	-2.221593380918265
AEE788	measurement	ELK1	2.199804350144466
AEE788	measurement	ARNT	-2.1770776065156077
AEE788	measurement	TBP	-2.1273045963846093
AEE788	measurement	NFATC1	-2.092938641867237
AEE788	measurement	PAX6	-2.0428393638016167
AEE788	measurement	MYC	2.041057229513782
AEE788	measurement	NR1H2	-2.040093477693826
AEE788	measurement	LYL1	1.95745580577114
AEE788	measurement	MEF2C	-1.8449054508015732
AEE788	measurement	SPI1	-1.8290470691175078
AEE788	measurement	ETS1	1.8280547468324286
AEE788	measurement	FOXM1	1.8139783904914248
AEE788	measurement	NR1H3	-1.8045957255759741
AEE788	measurement	MNT	1.7868314178181548
AEE788	measurement	ZHX1	-1.7834898127765566
AEE788	measurement	FOXL2	-1.7651666691332841
AEE788	measurement	NRF1	1.7438316008262602
AEE788	measurement	NFE2L1	-1.7099433763031686
AEE788	measurement	ZEB2	-1.6963877058226746
AEE788	measurement	E2F7	-1.6813770926679497
AEE788	measurement	FOXO1	-1.6236802825574808
AEE788	measurement	ZEB1	1.6231592703638378
AEE788	measurement	FOXO3	-1.6149376944525187
AEE788	measurement	JUNB	1.6134882704020623
AEE788	measurement	IRF3	1.6005875525945197
AEE788	measurement	PPARG	-1.5871448209186663
AEE788	measurement	ERG	-1.5637289347972736
AEE788	measurement	GLI2	-1.5623235371032769
AEE788	measurement	NCOA2	-1.5572212373237257
AEE788	measurement	PGR	-1.554085335090029
AEE788	measurement	FOXK2	1.5193020154537034
AEE788	measurement	MEIS1	-1.5087233820041208
AFATINIB	measurement	ZEB1	-3.149623515401462
AFATINIB	measurement	EGR1	-3.030677652695761
AFATINIB	measurement	MNT	-3.00632821880229
AFATINIB	measurement	ETS1	-2.9817846699231123
AFATINIB	measurement	BHLHE40	-2.65222441249194
AFATINIB	measurement	HINFP	2.563737607034064
AFATINIB	measurement	RFX1	-2.548810073894862
AFATINIB	measurement	NFYA	-2.548714658253919
AFATINIB	measurement	ARNTL	-2.5112820173484662
AFATINIB	measurement	NFE2L1	2.486908281413332
AFATINIB	measurement	TCF3	-2.4083471877899725
AFATINIB	measurement	NCOA2	2.392495904457021
AFATINIB	measurement	IRF3	-2.3709803998618
AFATINIB	measurement	STAT1	-2.360827393663484
AFATINIB	measurement	SP4	-2.3203909603832127
AFATINIB	measurement	NR2F1	-2.305472989581552
AFATINIB	measurement	RELA	-2.2855185363436457
AFATINIB	measurement	ESR1	-2.281223126402859
AFATINIB	measurement	ZNF274	-2.234445184686562
AFATINIB	measurement	SRF	-2.20689521898051
AFATINIB	measurement	CREM	-2.1813015301253835
AFATINIB	measurement	EPAS1	-2.1394174374182193
AFATINIB	measurement	RARA	-2.0603925045036857
AFATINIB	measurement	STAT5B	-2.0246851567305546
AFATINIB	measurement	PAX5	-2.021536121689757
AFATINIB	measurement	E2F6	-1.8826559318125662
AFATINIB	measurement	SMAD5	1.8734910498307749
AFATINIB	measurement	CLOCK	-1.8261654660655713
AFATINIB	measurement	SOX9	-1.804772094220486
AFATINIB	measurement	NFIC	-1.7824355710918085
AFATINIB	measurement	ATF4	-1.7712032255050858
AFATINIB	measurement	GATA1	-1.7329964936387001
AFATINIB	measurement	NCOA1	1.7251240938640895
AFATINIB	measurement	RFX5	-1.6977668248622002
AFATINIB	measurement	RUNX2	1.6905714498833309
AFATINIB	measurement	NFATC1	-1.6793037848410175
AFATINIB	measurement	PPARG	-1.6765313391747119
AFATINIB	measurement	MYOD1	-1.6719627084753004
AFATINIB	measurement	KDM5B	-1.647773624872432
AFATINIB	measurement	ATF3	-1.6064861541963522
AFATINIB	measurement	TEAD1	-1.5968872573334807
AFATINIB	measurement	GFI1B	-1.5833826529407615
AFATINIB	measurement	ARID3A	-1.5673968988560492
AFATINIB	measurement	ASCL1	-1.5599255246783594
AFATINIB	measurement	FOXK2	-1.554424628130531
AFATINIB	measurement	NR1H3	-1.5524331125831243
AFATINIB	measurement	E2F4	1.5473574152870149
AFATINIB	measurement	SMAD1	-1.5142560663097586
AFATINIB	measurement	SMAD3	-1.4870392548958646
AFATINIB	measurement	MAZ	-1.467238997183585
AZD5363	measurement	HIF1A	-4.905924917615382
AZD5363	measurement	ATF4	-4.875694503262256
AZD5363	measurement	TAL1	-4.366220741712524
AZD5363	measurement	EGR1	-3.968778581874418
AZD5363	measurement	REL	-3.7983714690471255
AZD5363	measurement	NCOA2	-3.6278277604335223
AZD5363	measurement	SOX2	-3.6036311057971213
AZD5363	measurement	SRF	-3.5279848845944355
AZD5363	measurement	FOXA1	-3.41944476748686
AZD5363	measurement	ATF3	-3.2451885084770002
AZD5363	measurement	RELB	-3.2167498406305115
AZD5363	measurement	JUND	-3.154705785896847
AZD5363	measurement	GATA2	-3.0413186335477747
AZD5363	measurement	ATF6	-2.877009576112575
AZD5363	measurement	GATA3	-2.8158390214123936
AZD5363	measurement	RXRA	-2.7990478279632907
AZD5363	measurement	SPI1	-2.7931000517423388
AZD5363	measurement	BHLHE40	-2.7823650423109707
AZD5363	measurement	ELK4	-2.544596591339802
AZD5363	measurement	ONECUT1	-2.532401942329049
AZD5363	measurement	ARID3A	-2.530544328202778
AZD5363	measurement	RELA	-2.4982808614365433
AZD5363	measurement	FOS	-2.49442130408584
AZD5363	measurement	HSF1	2.4815118690926843
AZD5363	measurement	ARNT	-2.4786562505752654
AZD5363	measurement	PAX6	-2.465592509107348
AZD5363	measurement	CTCF	-2.461221282199332
AZD5363	measurement	POU2F2	-2.425103386722517
AZD5363	measurement	CEBPB	-2.4099272527541222
AZD5363	measurement	JUN	-2.3680519458586136
AZD5363	measurement	EPAS1	-2.360090753942269
AZD5363	measurement	ETV4	-2.3504736768569026
AZD5363	measurement	NCOA3	-2.3020836381873018
AZD5363	measurement	LYL1	-2.293839343201565
AZD5363	measurement	ETV1	-2.195461402060109
AZD5363	measurement	STAT2	-2.177584895313497
AZD5363	measurement	EBF1	-2.173698503186259
AZD5363	measurement	TBP	2.1622858744021403
AZD5363	measurement	NEUROD1	2.159040331466594
AZD5363	measurement	CEBPA	-2.1503144707852075
AZD5363	measurement	BCL6	-2.1456079441084865
AZD5363	measurement	NR2F6	-2.1446799282021076
AZD5363	measurement	HNF4A	-2.1330889697289375
AZD5363	measurement	RARA	-2.1150463271672213
AZD5363	measurement	E2F3	2.0403703987841353
AZD5363	measurement	NFATC1	-2.0344433345969244
AZD5363	measurement	MEF2A	-2.03258662824295
AZD5363	measurement	ARNTL	-2.0200449568257928
AZD5363	measurement	NFE2L2	2.0155393165300812
AZD5363	measurement	FOXL2	-2.013894989373874
BAFETINIB	measurement	SREBF1	7.240743569584393
BAFETINIB	measurement	SREBF2	7.060833601500732
